id,code,name,chart_template_id/id,user_type_id/id,tag_ids/id,group_id/id,reconcile
ac_1010201,1.01.02.01,ACTIVOS FINANCIEROS VALOR RAZONABLE Y CAMBIOS EN RESULTADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10102,False
ac_1010202,1.01.02.02,ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10102,False
ac_1010203,1.01.02.03,ACTIVOS FINANCIEROS CORRIENTES MANTENIDOS HASTA VENCIMIENTO ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10102,False
ac_1010204,1.01.02.04,(-) PROVISIÓN POR DETERIORO ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10102,False
ac_101020501,1.01.02.05.01,CXC CLIENTES NO RELACIONADOS CON INTERESES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_receivable,account.account_tag_operating,l10n_ec_oodca.group_1010205,True
ac_101020502,1.01.02.05.02,CXC CLIENTES NO RELACIONADOS SIN INTERESES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_receivable,account.account_tag_operating,l10n_ec_oodca.group_1010205,True
ac_1010206,1.01.02.06,CXC CLIENTES RELACIONADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_receivable,account.account_tag_operating,l10n_ec_oodca.group_10102,True
ac_1010207,1.01.02.07,OTRAS CUENTAS POR COBRAR RELACIONADAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10102,False
ac_101020801,1.01.02.08.01,PRÉSTAMOS A EMPLEADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_1010208,False
ac_101020802,1.01.02.08.02,SUMINISTROS A EMPLEADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_1010208,False
ac_1010209,1.01.02.09,(-) PROVISIÓN CUENTAS INCOBRABLES Y DETERIORO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10102,False
ac_1010301,1.01.03.01,INVENTARIOS MATERIA PRIMA,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10103,False
ac_1010302,1.01.03.02,INVENTARIOS PRODUCTOS EN PROCESO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10103,False
ac_1010303,1.01.03.03,INVENTARIOS SUMINISTROS PARA PROCESO PRODUCCIÓN,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10103,False
ac_1010304,1.01.03.04,INVENTARIOS SUMINISTROS PARA PRESTACIÓN SERVICIO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_assets,account.account_tag_operating,l10n_ec_oodca.group_10103,False
